BX = 000 Event : 1
BX = 001 Event : 2
BX = 010 Event : 3
0x00 0000011|0010000|10000010001001|011011001000|1110011001|110011110  0x0321044b647339e
0x01 0000011|0010001|10000011011110|011011010011|1110010110|110011101  0x032306f369f2d9d
0x02 0000011|0010100|10000011010001|011011011110|1110010110|110011100  0x0329068b6f72d9c
BX = 011 Event : 4
BX = 100 Event : 5
BX = 101 Event : 6
0x00 0000011|0100000|10001110001011|011010010011|0001110111|001011011  0x03411c5b498ee5b
BX = 110 Event : 7
BX = 111 Event : 8
BX = 000 Event : 9
0x00 0000011|0000111|10000001111111|011111010001|0001011111|001100111  0x030f03fbe88be67
BX = 001 Event : 10
0x00 0000011|0001111|10000001101100|010100010010|1110011001|110110000  0x031f036289733b0
