BX = 000 Event : 1
BX = 001 Event : 2
BX = 010 Event : 3
BX = 011 Event : 4
BX = 100 Event : 5
BX = 101 Event : 6
BX = 110 Event : 7
BX = 111 Event : 8
BX = 000 Event : 9
0x00 0000011|0001000|10000100111001|010111110001|0000111010|000110100  0x031109caf887434
0x01 0000011|0001001|10000110101111|010111110000|0000111110|000110100  0x03130d7af807c34
0x02 0000011|0001011|10000101111001|011000101111|0000111100|000111000  0x03170bcb1787838
0x03 0000011|0001101|10000100010111|011000001000|0000111001|000110101  0x031b08bb0407235
BX = 001 Event : 10
