BX = 000 Event : 1
0x00 1111000|011100000100|01001101010001|010 0xf0e089a8a
0x01 1110110|011100000101|01001111101110|001 0xece0a9f71
0x02 1110011|001100000001|01110010100010|001 0xe6602e511
0x03 0110000|001001110101|01110100001110|010 0x604eae872
0x04 0011000|001010010010|01101001100000|110 0x30524d306
0x05 1101010|010110010101|01110011011100|100 0xd4b2ae6e4
0x06 0001101|010011100100|01101010011100|110 0x1a9c8d4e6
0x07 0010110|000111011101|01100011111101|101 0x2c3bac7ed
0x08 1011000|000110011000|01000111011000|100 0xb03308ec4
0x09 1110011|001111011000|01011000000111|010 0xe67b0b03a
0x0a 1011010|000011111110|01010100100111|101 0xb41fca93d
0x0b 1100010|000010101101|01010110001111|001 0xc415aac79
0x0c 1011010|000001000001|01010010010011|100 0xb4082a49c
0x0d 1010111|000001000001|01000011111110|010 0xae08287f2
0x0e 1011000|111110100001|01001000010100|000 0xb1f4290a0
0x0f 1011111|111101011101|01000110100111|010 0xbfeba8d3a
0x10 1011100|111001101111|01011001010001|001 0xb9cdeb289
0x11 1011000|111010011010|01001100001101|110 0xb1d34986e
0x12 0001011|000100011110|01011010111110|100 0x1623cb5f4
0x13 0001100|000010110100|01010111011111|000 0x18168aef8
0x14 1111111|000001100010|01101111100010|000 0xfe0c4df10
0x15 0000000|111110011001|01111110010010|110 0x01f32fc96
0x16 0000111|111011010001|01111100110111|001 0x0fda2f9b9
0x17 1111110|110010010111|01011110010001|101 0xfd92ebc8d
0x18 0100000|110010110001|01111011111011|110 0x41962f7de
0x19 0101010|110010110110|01100010111111|010 0x5596cc5fa
0x1a 1110001|110010100100|01000110001001|101 0xe39488c4d
0x1b 0000011|110010110001|00111111110011|101 0x079627f9d
0x1c 0100000|101110101111|01100010111001|101 0x4175ec5cd
0x1d 0010110|101110111010|01010111101001|110 0x2d774af4e
0x1e 1101000|101100001100|01011100011011|001 0xd1618b8d9
0x1f 0000100|101001110101|01101000100001|011 0x094ead10b
0x20 0100111|101010000010|01011101111101|100 0x4f504bbec
0x21 0000011|111000101101|01001000011001|100 0x07c5a90cc
0x22 0001111|110110111111|01010110110011|000 0x1fb7ead98
0x23 0001011|110110111111|01111100001110|001 0x17b7ef871
0x24 0001011|110101011001|01010110011100|110 0x17ab2ace6
