BX = 000 Event : 1
0x00 0000011|0001100|01101101111010|001101100111|0001000111|000110100  0x0318dbd1b388e34
0x01 0000011|0001101|01001110111010|001011000001|0000011111|111010100  0x031a9dd16083fd4
0x02 0000011|0001110|01011001000001|001011001010|1111101111|111011010  0x031cb209657dfda
0x03 0000011|0001111|01011000001101|001011101001|1111110010|111010110  0x031eb06974fe5d6
0x04 0000011|0010000|01011000111111|001011001011|1111110000|111011010  0x0320b1f965fe1da
0x05 0000011|0010001|01011000001011|001011101010|1111110011|111010110  0x0322b059757e7d6
0x06 0000011|0010010|01011110001000|001010110000|1111010000|111010111  0x0324bc41587a1d7
0x07 0000011|0010011|01011101111011|001010110011|1111010100|111010101  0x0326bbd959fa9d5
BX = 001 Event : 2
0x00 0000011|0001101|01100111000001|001100111101|0000110001|000101111  0x031ace099e8622f
0x01 0000011|0001111|01000101001111|001110001100|0000011001|000110111  0x031e8a79c603237
0x02 0000011|0010000|01100111000011|001100110111|0000110010|000101101  0x0320ce199b8642d
0x03 0000011|0010001|01100111001000|001100110111|0000110010|000101101  0x0322ce419b8642d
0x04 0000011|0010011|01000010110000|001011100001|1111010111|111011000  0x0326858170fafd8
0x05 0000011|0010100|01010111100000|010010111101|0000000110|001000010  0x0328af025e80c42
0x06 0000011|0010101|01011110111010|010000110100|0000011001|000110111  0x032abdd21a03237
0x07 0000011|0010110|01001110100101|001101001000|1111011101|000110000  0x032c9d29a47ba30
0x08 0000011|0010111|01100111000101|001100111011|0000110010|000101111  0x032ece299d8642f
BX = 010 Event : 3
0x00 0000011|0010100|01100111101000|011010111010|0000011100|001100000  0x0328cf435d03860
0x01 0000011|0010111|01100111101000|011010000110|0000011100|001011011  0x032ecf43430385b
0x02 0000011|0011001|01100001011101|010111110100|0000001011|001001110  0x0332c2eafa0164e
0x03 0000011|0011100|01011000000111|001110001010|0000010011|111001101  0x0338b039c5027cd
0x04 0000011|0100001|01010100110010|010100010011|1111110110|110101110  0x0342a99289fedae
BX = 011 Event : 4
0x00 0000011|0000001|01000010111010|001111111001|0000101111|111000010  0x030285d1fc85fc2
0x01 0000011|0000010|01000001111010|001111100110|0000110100|111000101  0x030483d1f3069c5
BX = 100 Event : 5
0x00 0000011|0000101|01000100101010|001010011001|0000100010|000100010  0x030a89514c84422
0x01 0000011|0000110|01000101010000|001010011110|0000101110|000100110  0x030c8a814f05c26
0x02 0000011|0001011|01010010001111|001100111010|1111100010|000101010  0x0316a4799d7c42a
0x03 0000011|0001100|01011011101011|001101111000|0000000110|000101111  0x0318b759bc00c2f
0x04 0000011|0001101|01100111000100|001101101001|0000101101|000101101  0x031ace21b485a2d
0x05 0000011|0001110|01011010011010|001110001110|1111111110|000110011  0x031cb4d1c77fc33
0x06 0000011|0001111|01100101110111|001101111110|0000100101|000110010  0x031ecbb9bf04a32
BX = 101 Event : 6
0x00 0000011|0000111|01000110001001|001010101101|1111100010|111011011  0x030e8c4956fc5db
0x01 0000011|0001001|01000101011000|001010111011|1111100110|111011001  0x03128ac15dfcdd9
0x02 0000011|0010010|01001001101001|011000011110|1111010000|001010000  0x0324934b0f7a050
0x03 0000011|0010100|01010010001000|001010111110|0000001100|111011011  0x0328a4415f019db
0x04 0000011|0010101|01011101000001|001011100011|1111100000|111010110  0x032aba0971fc1d6
0x05 0000011|0010110|01011100111110|001011101001|1111100001|111010011  0x032cb9f174fc3d3
0x06 0000011|0011000|01001111001111|010010110100|0000000110|110111000  0x03309e7a5a00db8
0x07 0000011|0011001|01101101001100|010001111111|1111010000|111000000  0x0332da623ffa1c0
0x08 0000011|0011010|01110000000110|010001011100|1111000100|111000100  0x0334e0322e789c4
BX = 110 Event : 7
0x00 0000011|0000100|01001000010111|001011000011|0000101010|000101001  0x030890b96185429
0x01 0000011|0000111|01000101001010|010001000001|1110110000|001000000  0x030e8a5220f6040
0x02 0000011|0001000|01000001000010|001101001111|1111000100|000101100  0x03108211a7f882c
0x03 0000011|0001001|01011000011000|001111010001|0000001111|000111000  0x0312b0c1e881e38
0x04 0000011|0001010|01010111111000|001111010000|0000001101|000111000  0x0314afc1e801a38
0x05 0000011|0001011|01010000010000|001110011011|1111110011|000110011  0x0316a081cdfe633
0x06 0000011|0001100|01010110111010|001110110100|0000000111|000110100  0x0318add1da00e34
0x07 0000011|0001101|01010110011111|001110110101|0000000110|000110100  0x031aacf9da80c34
0x08 0000011|0001110|01001111011110|001110001010|1111101110|000101111  0x031c9ef1c57dc2f
0x09 0000011|0001111|01010111000100|001111001011|0000001000|000110111  0x031eae21e581037
0x0a 0000011|0010000|01010110101100|001111001010|0000000111|000110111  0x0320ad61e500e37
0x0b 0000011|0010001|01011101111010|001101100001|0000100010|000101101  0x0322bbd1b08442d
0x0c 0000011|0010010|01010000010011|001110011101|1111110011|000110011  0x0324a099cefe633
0x0d 0000011|0010011|01001011001100|010001100001|1111000010|001000011  0x0326966230f8443
0x0e 0000011|0010100|01010011101110|001111000100|0000001000|000111010  0x0328a771e20103a
0x0f 0000011|0010101|01011011100001|010100111000|0000000010|110110011  0x032ab70a9c005b3
0x10 0000011|0011000|01011111010010|001101011010|0000110000|000101111  0x0330be91ad0602f
0x11 0000011|0011001|01011111001110|001101010111|0000110000|000101111  0x0332be71ab8602f
0x12 0000011|0011010|01010001110100|001100111101|0000000010|000101100  0x0334a3a19e8042c
0x13 0000011|0011011|01100001001100|001110000110|0000110111|000110100  0x0336c261c306e34
0x14 0000011|0011100|01010110111000|001110110101|0000000111|000110100  0x0338adc1da80e34
0x15 0000011|0011101|01010110100010|001110110100|0000000110|000110100  0x033aad11da00c34
0x16 0000011|0011110|01010000001101|001110010000|1111110011|000110000  0x033ca069c87e630
0x17 0000011|0011111|01111011011000|010100000100|0001010001|001001001  0x033ef6c2820a249
0x18 0000011|0100000|01010001001001|010000000001|1111101011|001000000  0x0340a24a00fd640
0x19 0000011|0100001|01010001000010|001111111101|1111101010|000111111  0x0342a211fefd43f
0x1a 0000011|0100010|01001100001010|001110110110|1111011010|000111000  0x03449851db7b438
0x1b 0000011|0100011|01001110000010|001100110101|1111100000|000101010  0x03469c119afc02a
BX = 111 Event : 8
BX = 000 Event : 9
0x00 0000011|0000001|01110010000110|011100010111|0010000000|001100111  0x0302e4338b90067
0x01 0000011|0000100|01110010011011|011101000101|0010000001|001101100  0x0308e4dba29026c
0x02 0000011|0000101|01110001011001|011001100110|0001111111|001011011  0x030ae2cb330fe5b
0x03 0000011|0000110|01101011001001|010101100101|0000111011|001010100  0x030cd64ab287654
0x04 0000011|0000111|01110001100010|011001100111|0001111111|001011011  0x030ee313338fe5b
0x05 0000011|0001000|01110001001001|011001011011|0001111110|001011010  0x0310e24b2d8fc5a
0x06 0000011|0001001|01111100010100|010101100110|1110010110|110101110  0x0312f8a2b372dae
0x07 0000011|0001010|01110001001010|011001011011|0001111110|001011010  0x0314e2532d8fc5a
0x08 0000011|0001011|01111100000011|010101100010|1110010110|110101111  0x0316f81ab172daf
BX = 001 Event : 10
0x00 0000011|0000001|01000111000111|011001100111|1111001101|001010110  0x03028e3b33f9a56
0x01 0000011|0000010|01011101111000|011111000100|0000011111|001110001  0x0304bbc3e203e71
0x02 0000011|0000111|01001110010101|011110000101|0000010011|110010111  0x030e9cabc282797
