BX = 000 Event : 1
0x00 1001100|111100011001|01011000111011|000|0000001|01011001 0x4cf1958ec0159
0x01 1001100|111110101011|01010100001000|001|0000110|01010110 0x4cfab54208656
0x02 1010100|111111110101|01011001011100|001|0000111|01011010 0x54ff55970875a
0x03 1001100|000000100111|01011001010100|100|0001000|01011000 0x4c02759520858
0x04 1010100|000010010101|01001111100101|001|0001011|01010001 0x540954f948b51
0x05 1010100|000010100100|01011011111111|001|0001100|01011101 0x540a45bfc8c5d
0x06 1010100|000010100111|01011100001010|000|0001101|01011100 0x540a75c280d5c
0x07 1001100|000011001110|01010010000010|001|0001110|01010100 0x4c0ce52088e54
0x08 1001100|000100000011|01011001001001|101|0001111|01010110 0x4c10359268f56
0x09 0001110|000100100000|01010100110001|110|0010001|01010101 0x0e12054c71155
0x0a 0001101|000100100001|01010101011010|101|0010010|01010101 0x0d121556a9255
0x0b 1101000|001000101011|01010100100010|101|0010100|01010011 0x6822b548a9453
0x0c 0011000|001001110100|01010010001001|101|0010101|01010011 0x1827452269553
0x0d 1101101|001110010010|01011100010101|101|0010111|01011011 0x6d3925c56975b
0x0e 1101000|001110010100|01011100011111|101|0011000|01011011 0x683945c7e985b
0x0f 0011011|010000001111|01011001100110|100|0011001|01011010 0x1b40f599a195a
0x10 1101011|010000011101|01010110110001|101|0011011|01010101 0x6b41d56c69b55
0x11 0011110|010011001001|01011100001000|001|0011100|01011011 0x1e4c95c209c5b
0x12 1111111|011111100110|01010111001001|100|0011111|01010110 0x7f7e657261f56
0x13 0010100|100000100000|01010100111100|001|0100000|01010100 0x1482054f0a054
0x14 1100100|101001001000|01010011101011|001|0100100|01010100 0x64a4853aca454
0x15 0000110|101001010010|01010101100101|001|0100110|01010101 0x06a525594a655
0x16 0001101|101001010100|01010100111110|000|0100111|01010100 0x0da5454f82754
0x17 1111010|101100101101|01010101000111|001|0101010|01010101 0x7ab2d551caa55
0x18 1111100|101100101110|01010101000000|000|0101011|01010101 0x7cb2e55002b55
0x19 0000110|101100110001|01010100011111|000|0101100|01010100 0x06b31547c2c54
0x1a 1110011|101111100101|01011001000001|010|0101101|01011001 0x73be559052d59
0x1b 1110011|111000100011|01010011111000|010|0110000|01010100 0x73e2353e13054
0x1c 0010100|111001000010|01011011010110|010|0110001|01011001 0x14e425b593159
BX = 001 Event : 2
0x00 1001100|111100101111|01011101100010|101|0000000|01011010 0x4cf2f5d8a805a
0x01 1001100|111100110111|01001101011010|010|0000001|01010001 0x4cf374d690151
0x02 1001101|111110111010|01100010001010|101|0000010|01011111 0x4dfba622a825f
0x03 1010100|000000001011|01010000110001|000|0000011|01010001 0x5400b50c40351
0x04 1001100|000000100101|01010101000011|001|0000100|01010111 0x4c025550c8457
0x05 1001100|000011101100|01011110100001|000|0000110|01011110 0x4c0ec5e84065e
0x06 0000111|000101110011|01010101100101|011|0001010|01010100 0x0717355958a54
0x07 1110011|000110000110|01010001001010|011|0001011|01010001 0x7318651298b51
0x08 1110111|001000100011|01010001111010|010|0001100|01010010 0x7722351e90c52
